Final Profit;Percentage Delivered;Average Stock;Throughout Time;OTIF Percentage;Quality Performance;Flow Efficiency;Resource Efficiency
 $162 ;50%;21,8;4:46;30%;94%;11%;42%
 $431 ;75%;20,1;04:17,5;40%;97;11;45
 $-434 ;50%;24,9;05:39.7;0%;79%;12%;68%
 $-547 ;40%;25,5;05:12,5;0%;73%;10%;39%
 $292 ;60%;21,8;04:01.5;20%;96%;11%;55%
 $-660 ;50%;21,7;04:52.9;8%;83%;11%;46%
 $1.278 ;85%;15,2;2:50;30%;91%;16%;60%
 $1.101 ;75%;20,3;3:44;53%;94%;14%;65%
 $-1.332 ;48%;28;05:54.5;0%;79%;12%;68%
 $-719 ;58%;28,7;05:46,1;0%;89%;9%;60%
 $2.432 ;98%;14,5;02:34,6;73%;97%;16%;58%
 $-97 ;75%;24,3;03:53.8;10%;92%;11%;63%
 $3.435 ;100%;3,6;28:00,0;100%;95%;79%;70%
 $3.057 ;98%%;5,9;0:52.6;85%;95%;51%;74%
 $2.621 ;90%;5,6;00:54.1;90%;95%;53%;73%
 $3.034 ;100%;7,4;01:01,8;85%;96%;44%;79%
 $2.397 ;100%;7;01:01,0;28%;97%;46%;80%
 $3.423 ;100%;4,5;00:38.7;100%;96%;61%;69%
